iteration,group_A,group_B,n_sig,pct_sig,median_abs_delta_r
1,"HP1601201T2D,HP1602301T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D",10235,4.6498210034708976,0.2171297021309824
2,"HP1601201T2D,HP1605601T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1606401T2D,HP1711701T2D",12189,5.537534754402224,0.21823267447962544
3,"HP1601201T2D,HP1606401T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1605601T2D,HP1711701T2D",11257,5.114121644950844,0.21749911370676878
4,"HP1601201T2D,HP1711701T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1605601T2D,HP1606401T2D",8716,3.9597303240109762,0.20608387737870645
5,"HP1529801T2D,HP1601201T2D,Sample108,Sample109,Sample110","HP1602301T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D",10642,4.834723509422305,0.2195365144554036
6,"HP1602301T2D,HP1605601T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1606401T2D,HP1711701T2D",10250,4.656635592142325,0.21389364392162738
7,"HP1602301T2D,HP1606401T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1605601T2D,HP1711701T2D",11566,5.254502171582256,0.2214844117433056
8,"HP1602301T2D,HP1711701T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1605601T2D,HP1606401T2D",8351,3.7939086663395662,0.20437261849064262
9,"HP1529801T2D,HP1602301T2D,Sample108,Sample109,Sample110","HP1601201T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D",10836,4.922858856239437,0.21665891521714753
10,"HP1605601T2D,HP1606401T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1602301T2D,HP1711701T2D",11639,5.287666503116538,0.21578984155142195
11,"HP1605601T2D,HP1711701T2D,Sample108,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1602301T2D,HP1606401T2D",8858,4.0242417634338254,0.20414338084273537
