iteration,group_A,n_sig,pct_sig,median_abs_delta_r
1,"Sample102,Sample103,Sample105,Sample106",10199,4.63346599065947,0.21794050788199335
2,"Sample102,Sample103,Sample104,Sample105",22547,10.24323538497883,0.24267808300317595
3,"HP1525901,Sample102,Sample103,Sample105",7368,3.347325955405332,0.20713960140390986
4,"HP1711001,Sample102,Sample103,Sample105",9422,4.280470297479511,0.22617822704901144
5,"HP1714601,Sample102,Sample103,Sample105",8479,3.852059823002417,0.22449427161560917
6,"Sample102,Sample103,Sample104,Sample106",10973,4.9850987661051445,0.225284837033984
7,"HP1525901,Sample102,Sample103,Sample106",10007,4.546239255665195,0.22282135588432633
8,"HP1711001,Sample102,Sample103,Sample106",5629,2.5572879754311364,0.21089458385704138
9,"HP1714601,Sample102,Sample103,Sample106",5287,2.4019153537225826,0.20758577187660238
10,"HP1525901,Sample102,Sample103,Sample104",7031,3.1942248632539205,0.2056952403110534
11,"HP1711001,Sample102,Sample103,Sample104",8853,4.021970233876683,0.2254767958468761
12,"HP1714601,Sample102,Sample103,Sample104",8050,3.657162586999582,0.2233156612376745
13,"HP1525901,HP1711001,Sample102,Sample103",8902,4.044231223536681,0.21537886819676483
14,"HP1525901,HP1714601,Sample102,Sample103",8730,3.966090606770975,0.21702372572165515
15,"HP1711001,HP1714601,Sample102,Sample103",7418,3.3700412509767577,0.21166052758132486
16,"Sample102,Sample104,Sample105,Sample106",24613,11.18183139799015,0.2465106415743682
17,"HP1525901,Sample102,Sample105,Sample106",7054,3.2046738992167767,0.2098420145270381
18,"HP1711001,Sample102,Sample105,Sample106",10551,4.793381671482309,0.23222330133652724
19,"HP1714601,Sample102,Sample105,Sample106",9380,4.261389449199513,0.22772200926865574
20,"HP1525901,Sample102,Sample104,Sample105",10192,4.6302858492794705,0.22004856262245925
21,"HP1711001,Sample102,Sample104,Sample105",24446,11.105962310781587,0.2545676016794265
22,"HP1714601,Sample102,Sample104,Sample105",22309,10.13511057805884,0.252048626950117
23,"HP1525901,HP1711001,Sample102,Sample105",6885,3.127896200185357,0.2139396419578355
24,"HP1525901,HP1714601,Sample102,Sample105",6061,2.753548129168257,0.20972557118836163
25,"HP1711001,HP1714601,Sample102,Sample105",14774,6.711915535444947,0.24117291155104875
26,"HP1525901,Sample102,Sample104,Sample106",7741,3.5167820603681696,0.21597573699473419
27,"HP1711001,Sample102,Sample104,Sample106",10815,4.913318432099438,0.23928692379024702
28,"HP1714601,Sample102,Sample104,Sample106",9778,4.442203201948064,0.23755837265617225
29,"HP1525901,HP1711001,Sample102,Sample106",8692,3.9488269821366915,0.22209248619849953
30,"HP1525901,HP1714601,Sample102,Sample106",8045,3.6548910574424394,0.21806966996077506
31,"HP1711001,HP1714601,Sample102,Sample106",9514,4.322266441330934,0.22755447803871393
32,"HP1525901,HP1711001,Sample102,Sample104",6346,2.8830253139253847,0.21393356132188152
33,"HP1525901,HP1714601,Sample102,Sample104",5811,2.639971651311127,0.2100701153131453
34,"HP1711001,HP1714601,Sample102,Sample104",17296,7.8576750440676735,0.2505355257141287
35,"HP1525901,HP1711001,HP1714601,Sample102",10304,4.681168111359465,0.2234643951174998
